query,TNCM_L1,CVAE_L1,ΔL1 (CVAE−TNCM),Better Model
P(Y_(t+1) > 0.0 | do(X_t = 0.0)) @ step=1,0.12112,0.00123,-0.11989000000000001,CVAE
P(Y_(t+1) > 0.0 | do(X_t = 0.0)) @ step=2,0.11543,0.0016799999999999999,-0.11375,CVAE
P(Y_(t+1) > 0.0 | do(X_t = 0.0)) @ step=3,0.12937000000000004,0.00215,-0.12722000000000003,CVAE
P(Y_(t+1) > 0.0 | do(X_t = 0.0)) @ step=4,0.13332999999999998,0.0022500000000000003,-0.13107999999999997,CVAE
P(Y_(t+1) > 0.0 | do(X_t = 0.0)) @ step=5,0.13484000000000002,0.00249,-0.13235000000000002,CVAE
